source,target,news_id
fake_news_000_t00000,fake_news_000_t00101,fake_news_000
fake_news_000_t00000,fake_news_000_t00026,fake_news_000
fake_news_000_t00000,fake_news_000_t00002,fake_news_000
fake_news_000_t00101,fake_news_000_t00012,fake_news_000
fake_news_000_t00101,fake_news_000_t00104,fake_news_000
fake_news_000_t00101,fake_news_000_t00069,fake_news_000
fake_news_000_t00101,fake_news_000_t00072,fake_news_000
fake_news_000_t00101,fake_news_000_t00076,fake_news_000
fake_news_000_t00026,fake_news_000_t00043,fake_news_000
fake_news_000_t00026,fake_news_000_t00096,fake_news_000
fake_news_000_t00026,fake_news_000_t00085,fake_news_000
fake_news_000_t00026,fake_news_000_t00061,fake_news_000
fake_news_000_t00026,fake_news_000_t00021,fake_news_000
fake_news_000_t00002,fake_news_000_t00055,fake_news_000
fake_news_000_t00002,fake_news_000_t00041,fake_news_000
fake_news_000_t00012,fake_news_000_t00049,fake_news_000
fake_news_000_t00012,fake_news_000_t00022,fake_news_000
fake_news_000_t00012,fake_news_000_t00080,fake_news_000
fake_news_000_t00012,fake_news_000_t00062,fake_news_000
fake_news_000_t00104,fake_news_000_t00048,fake_news_000
fake_news_000_t00104,fake_news_000_t00102,fake_news_000
fake_news_000_t00069,fake_news_000_t00013,fake_news_000
fake_news_000_t00069,fake_news_000_t00106,fake_news_000
fake_news_000_t00072,fake_news_000_t00105,fake_news_000
fake_news_000_t00076,fake_news_000_t00053,fake_news_000
fake_news_000_t00043,fake_news_000_t00094,fake_news_000
fake_news_000_t00096,fake_news_000_t00014,fake_news_000
fake_news_000_t00096,fake_news_000_t00044,fake_news_000
fake_news_000_t00096,fake_news_000_t00064,fake_news_000
fake_news_000_t00085,fake_news_000_t00039,fake_news_000
fake_news_000_t00085,fake_news_000_t00018,fake_news_000
fake_news_000_t00085,fake_news_000_t00025,fake_news_000
fake_news_000_t00085,fake_news_000_t00066,fake_news_000
fake_news_000_t00061,fake_news_000_t00098,fake_news_000
fake_news_000_t00021,fake_news_000_t00058,fake_news_000
fake_news_000_t00055,fake_news_000_t00054,fake_news_000
fake_news_000_t00055,fake_news_000_t00046,fake_news_000
fake_news_000_t00041,fake_news_000_t00036,fake_news_000
fake_news_000_t00041,fake_news_000_t00003,fake_news_000
fake_news_000_t00041,fake_news_000_t00086,fake_news_000
fake_news_000_t00049,fake_news_000_t00038,fake_news_000
fake_news_000_t00022,fake_news_000_t00067,fake_news_000
fake_news_000_t00080,fake_news_000_t00040,fake_news_000
fake_news_000_t00062,fake_news_000_t00103,fake_news_000
fake_news_000_t00062,fake_news_000_t00090,fake_news_000
fake_news_000_t00048,fake_news_000_t00091,fake_news_000
fake_news_000_t00048,fake_news_000_t00052,fake_news_000
fake_news_000_t00102,fake_news_000_t00088,fake_news_000
fake_news_000_t00102,fake_news_000_t00084,fake_news_000
fake_news_000_t00013,fake_news_000_t00023,fake_news_000
fake_news_000_t00013,fake_news_000_t00008,fake_news_000
fake_news_000_t00013,fake_news_000_t00031,fake_news_000
fake_news_000_t00106,fake_news_000_t00075,fake_news_000
fake_news_000_t00105,fake_news_000_t00059,fake_news_000
fake_news_000_t00053,fake_news_000_t00070,fake_news_000
fake_news_000_t00053,fake_news_000_t00082,fake_news_000
fake_news_000_t00094,fake_news_000_t00100,fake_news_000
fake_news_000_t00094,fake_news_000_t00017,fake_news_000
fake_news_000_t00014,fake_news_000_t00011,fake_news_000
fake_news_000_t00014,fake_news_000_t00045,fake_news_000
fake_news_000_t00044,fake_news_000_t00024,fake_news_000
fake_news_000_t00064,fake_news_000_t00068,fake_news_000
fake_news_000_t00039,fake_news_000_t00056,fake_news_000
fake_news_000_t00039,fake_news_000_t00047,fake_news_000
fake_news_000_t00018,fake_news_000_t00005,fake_news_000
fake_news_000_t00018,fake_news_000_t00092,fake_news_000
fake_news_000_t00018,fake_news_000_t00004,fake_news_000
fake_news_000_t00025,fake_news_000_t00042,fake_news_000
fake_news_000_t00066,fake_news_000_t00030,fake_news_000
fake_news_000_t00066,fake_news_000_t00057,fake_news_000
fake_news_000_t00098,fake_news_000_t00078,fake_news_000
fake_news_000_t00058,fake_news_000_t00071,fake_news_000
fake_news_000_t00058,fake_news_000_t00087,fake_news_000
fake_news_000_t00058,fake_news_000_t00009,fake_news_000
fake_news_000_t00058,fake_news_000_t00097,fake_news_000
fake_news_000_t00054,fake_news_000_t00083,fake_news_000
fake_news_000_t00054,fake_news_000_t00001,fake_news_000
fake_news_000_t00046,fake_news_000_t00033,fake_news_000
fake_news_000_t00036,fake_news_000_t00108,fake_news_000
fake_news_000_t00003,fake_news_000_t00074,fake_news_000
fake_news_000_t00086,fake_news_000_t00034,fake_news_000
fake_news_000_t00086,fake_news_000_t00010,fake_news_000
fake_news_000_t00038,fake_news_000_t00089,fake_news_000
fake_news_000_t00067,fake_news_000_t00050,fake_news_000
fake_news_000_t00040,fake_news_000_t00063,fake_news_000
fake_news_000_t00103,fake_news_000_t00099,fake_news_000
fake_news_000_t00090,fake_news_000_t00037,fake_news_000
fake_news_000_t00091,fake_news_000_t00065,fake_news_000
fake_news_000_t00052,fake_news_000_t00077,fake_news_000
fake_news_000_t00088,fake_news_000_t00081,fake_news_000
fake_news_000_t00088,fake_news_000_t00029,fake_news_000
fake_news_000_t00084,fake_news_000_t00007,fake_news_000
fake_news_000_t00023,fake_news_000_t00093,fake_news_000
fake_news_000_t00008,fake_news_000_t00035,fake_news_000
fake_news_000_t00031,fake_news_000_t00006,fake_news_000
fake_news_000_t00075,fake_news_000_t00079,fake_news_000
fake_news_000_t00059,fake_news_000_t00051,fake_news_000
fake_news_000_t00070,fake_news_000_t00032,fake_news_000
fake_news_000_t00082,fake_news_000_t00016,fake_news_000
fake_news_000_t00100,fake_news_000_t00073,fake_news_000
fake_news_000_t00017,fake_news_000_t00095,fake_news_000
fake_news_000_t00011,fake_news_000_t00020,fake_news_000
fake_news_000_t00045,fake_news_000_t00015,fake_news_000
fake_news_000_t00024,fake_news_000_t00028,fake_news_000
fake_news_000_t00068,fake_news_000_t00027,fake_news_000
fake_news_000_t00056,fake_news_000_t00060,fake_news_000
fake_news_000_t00047,fake_news_000_t00107,fake_news_000
fake_news_000_t00005,fake_news_000_t00019,fake_news_000
fake_news_000_t00005,fake_news_000_t00039,fake_news_000
fake_news_000_t00020,fake_news_000_t00016,fake_news_000
fake_news_000_t00066,fake_news_000_t00056,fake_news_000
fake_news_000_t00088,fake_news_000_t00025,fake_news_000
fake_news_000_t00059,fake_news_000_t00032,fake_news_000
fake_news_000_t00009,fake_news_000_t00106,fake_news_000
fake_news_000_t00019,fake_news_000_t00098,fake_news_000
fake_news_000_t00092,fake_news_000_t00049,fake_news_000
fake_news_000_t00019,fake_news_000_t00102,fake_news_000
fake_news_000_t00106,fake_news_000_t00016,fake_news_000
fake_news_000_t00060,fake_news_000_t00009,fake_news_000
fake_news_000_t00070,fake_news_000_t00015,fake_news_000
fake_news_000_t00100,fake_news_000_t00044,fake_news_000
fake_news_000_t00074,fake_news_000_t00099,fake_news_000
fake_news_000_t00080,fake_news_000_t00048,fake_news_000
fake_news_000_t00098,fake_news_000_t00091,fake_news_000
fake_news_001_t00000,fake_news_001_t00106,fake_news_001
fake_news_001_t00000,fake_news_001_t00008,fake_news_001
fake_news_001_t00106,fake_news_001_t00038,fake_news_001
fake_news_001_t00106,fake_news_001_t00059,fake_news_001
fake_news_001_t00008,fake_news_001_t00099,fake_news_001
fake_news_001_t00038,fake_news_001_t00047,fake_news_001
fake_news_001_t00059,fake_news_001_t00053,fake_news_001
fake_news_001_t00059,fake_news_001_t00007,fake_news_001
fake_news_001_t00059,fake_news_001_t00096,fake_news_001
fake_news_001_t00059,fake_news_001_t00002,fake_news_001
fake_news_001_t00099,fake_news_001_t00069,fake_news_001
fake_news_001_t00099,fake_news_001_t00085,fake_news_001
fake_news_001_t00099,fake_news_001_t00058,fake_news_001
fake_news_001_t00047,fake_news_001_t00016,fake_news_001
fake_news_001_t00053,fake_news_001_t00061,fake_news_001
fake_news_001_t00053,fake_news_001_t00031,fake_news_001
fake_news_001_t00007,fake_news_001_t00073,fake_news_001
fake_news_001_t00007,fake_news_001_t00114,fake_news_001
fake_news_001_t00096,fake_news_001_t00003,fake_news_001
fake_news_001_t00096,fake_news_001_t00049,fake_news_001
fake_news_001_t00002,fake_news_001_t00068,fake_news_001
fake_news_001_t00069,fake_news_001_t00040,fake_news_001
fake_news_001_t00069,fake_news_001_t00086,fake_news_001
fake_news_001_t00085,fake_news_001_t00075,fake_news_001
fake_news_001_t00058,fake_news_001_t00001,fake_news_001
fake_news_001_t00016,fake_news_001_t00108,fake_news_001
fake_news_001_t00061,fake_news_001_t00030,fake_news_001
fake_news_001_t00031,fake_news_001_t00089,fake_news_001
fake_news_001_t00073,fake_news_001_t00011,fake_news_001
fake_news_001_t00114,fake_news_001_t00090,fake_news_001
fake_news_001_t00003,fake_news_001_t00057,fake_news_001
fake_news_001_t00049,fake_news_001_t00080,fake_news_001
fake_news_001_t00068,fake_news_001_t00095,fake_news_001
fake_news_001_t00040,fake_news_001_t00036,fake_news_001
fake_news_001_t00086,fake_news_001_t00078,fake_news_001
fake_news_001_t00086,fake_news_001_t00022,fake_news_001
fake_news_001_t00075,fake_news_001_t00005,fake_news_001
fake_news_001_t00001,fake_news_001_t00064,fake_news_001
fake_news_001_t00108,fake_news_001_t00111,fake_news_001
fake_news_001_t00030,fake_news_001_t00097,fake_news_001
fake_news_001_t00089,fake_news_001_t00024,fake_news_001
fake_news_001_t00011,fake_news_001_t00014,fake_news_001
fake_news_001_t00090,fake_news_001_t00046,fake_news_001
fake_news_001_t00057,fake_news_001_t00051,fake_news_001
fake_news_001_t00080,fake_news_001_t00079,fake_news_001
fake_news_001_t00095,fake_news_001_t00105,fake_news_001
fake_news_001_t00036,fake_news_001_t00055,fake_news_001
fake_news_001_t00078,fake_news_001_t00025,fake_news_001
fake_news_001_t00022,fake_news_001_t00021,fake_news_001
fake_news_001_t00005,fake_news_001_t00009,fake_news_001
fake_news_001_t00064,fake_news_001_t00043,fake_news_001
fake_news_001_t00099,fake_news_001_t00046,fake_news_001
fake_news_001_t00043,fake_news_001_t00038,fake_news_001
fake_news_001_t00009,fake_news_001_t00031,fake_news_001
fake_news_001_t00068,fake_news_001_t00021,fake_news_001
fake_news_001_t00031,fake_news_001_t00108,fake_news_001
fake_news_001_t00002,fake_news_001_t00021,fake_news_001
fake_news_001_t00105,fake_news_001_t00030,fake_news_001
fake_news_002_t00000,fake_news_002_t00019,fake_news_002
fake_news_002_t00000,fake_news_002_t00018,fake_news_002
fake_news_002_t00019,fake_news_002_t00006,fake_news_002
fake_news_002_t00018,fake_news_002_t00004,fake_news_002
fake_news_002_t00006,fake_news_002_t00020,fake_news_002
fake_news_002_t00006,fake_news_002_t00010,fake_news_002
fake_news_002_t00004,fake_news_002_t00023,fake_news_002
fake_news_002_t00004,fake_news_002_t00043,fake_news_002
fake_news_002_t00004,fake_news_002_t00040,fake_news_002
fake_news_002_t00004,fake_news_002_t00026,fake_news_002
fake_news_002_t00004,fake_news_002_t00034,fake_news_002
fake_news_002_t00020,fake_news_002_t00042,fake_news_002
fake_news_002_t00010,fake_news_002_t00012,fake_news_002
fake_news_002_t00010,fake_news_002_t00024,fake_news_002
fake_news_002_t00023,fake_news_002_t00039,fake_news_002
fake_news_002_t00023,fake_news_002_t00036,fake_news_002
fake_news_002_t00043,fake_news_002_t00002,fake_news_002
fake_news_002_t00043,fake_news_002_t00035,fake_news_002
fake_news_002_t00040,fake_news_002_t00021,fake_news_002
fake_news_002_t00040,fake_news_002_t00016,fake_news_002
fake_news_002_t00026,fake_news_002_t00030,fake_news_002
fake_news_002_t00026,fake_news_002_t00005,fake_news_002
fake_news_002_t00034,fake_news_002_t00007,fake_news_002
fake_news_002_t00042,fake_news_002_t00003,fake_news_002
fake_news_002_t00012,fake_news_002_t00027,fake_news_002
fake_news_002_t00024,fake_news_002_t00038,fake_news_002
fake_news_002_t00039,fake_news_002_t00028,fake_news_002
fake_news_002_t00039,fake_news_002_t00044,fake_news_002
fake_news_002_t00036,fake_news_002_t00029,fake_news_002
fake_news_002_t00036,fake_news_002_t00031,fake_news_002
fake_news_002_t00036,fake_news_002_t00037,fake_news_002
fake_news_002_t00002,fake_news_002_t00041,fake_news_002
fake_news_002_t00035,fake_news_002_t00017,fake_news_002
fake_news_002_t00021,fake_news_002_t00032,fake_news_002
fake_news_002_t00021,fake_news_002_t00025,fake_news_002
fake_news_002_t00016,fake_news_002_t00011,fake_news_002
fake_news_002_t00030,fake_news_002_t00013,fake_news_002
fake_news_002_t00005,fake_news_002_t00008,fake_news_002
fake_news_002_t00005,fake_news_002_t00033,fake_news_002
fake_news_002_t00007,fake_news_002_t00022,fake_news_002
fake_news_002_t00003,fake_news_002_t00009,fake_news_002
fake_news_002_t00027,fake_news_002_t00015,fake_news_002
fake_news_002_t00038,fake_news_002_t00014,fake_news_002
fake_news_002_t00028,fake_news_002_t00001,fake_news_002
fake_news_002_t00014,fake_news_002_t00023,fake_news_002
fake_news_002_t00030,fake_news_002_t00041,fake_news_002
fake_news_002_t00010,fake_news_002_t00040,fake_news_002
fake_news_002_t00007,fake_news_002_t00001,fake_news_002
fake_news_002_t00044,fake_news_002_t00038,fake_news_002
fake_news_002_t00026,fake_news_002_t00040,fake_news_002
fake_news_003_t00000,fake_news_003_t00121,fake_news_003
fake_news_003_t00121,fake_news_003_t00101,fake_news_003
fake_news_003_t00121,fake_news_003_t00116,fake_news_003
fake_news_003_t00121,fake_news_003_t00027,fake_news_003
fake_news_003_t00101,fake_news_003_t00061,fake_news_003
fake_news_003_t00116,fake_news_003_t00076,fake_news_003
fake_news_003_t00027,fake_news_003_t00012,fake_news_003
fake_news_003_t00027,fake_news_003_t00175,fake_news_003
fake_news_003_t00027,fake_news_003_t00141,fake_news_003
fake_news_003_t00027,fake_news_003_t00102,fake_news_003
fake_news_003_t00061,fake_news_003_t00037,fake_news_003
fake_news_003_t00061,fake_news_003_t00014,fake_news_003
fake_news_003_t00076,fake_news_003_t00045,fake_news_003
fake_news_003_t00076,fake_news_003_t00072,fake_news_003
fake_news_003_t00076,fake_news_003_t00105,fake_news_003
fake_news_003_t00012,fake_news_003_t00178,fake_news_003
fake_news_003_t00012,fake_news_003_t00052,fake_news_003
fake_news_003_t00175,fake_news_003_t00137,fake_news_003
fake_news_003_t00141,fake_news_003_t00092,fake_news_003
fake_news_003_t00102,fake_news_003_t00008,fake_news_003
fake_news_003_t00037,fake_news_003_t00095,fake_news_003
fake_news_003_t00014,fake_news_003_t00189,fake_news_003
fake_news_003_t00045,fake_news_003_t00026,fake_news_003
fake_news_003_t00072,fake_news_003_t00125,fake_news_003
fake_news_003_t00105,fake_news_003_t00091,fake_news_003
fake_news_003_t00178,fake_news_003_t00066,fake_news_003
fake_news_003_t00178,fake_news_003_t00143,fake_news_003
fake_news_003_t00052,fake_news_003_t00179,fake_news_003
fake_news_003_t00137,fake_news_003_t00181,fake_news_003
fake_news_003_t00092,fake_news_003_t00126,fake_news_003
fake_news_003_t00092,fake_news_003_t00084,fake_news_003
fake_news_003_t00008,fake_news_003_t00032,fake_news_003
fake_news_003_t00095,fake_news_003_t00131,fake_news_003
fake_news_003_t00189,fake_news_003_t00176,fake_news_003
fake_news_003_t00026,fake_news_003_t00060,fake_news_003
fake_news_003_t00125,fake_news_003_t00161,fake_news_003
fake_news_003_t00091,fake_news_003_t00177,fake_news_003
fake_news_003_t00066,fake_news_003_t00167,fake_news_003
fake_news_003_t00143,fake_news_003_t00147,fake_news_003
fake_news_003_t00179,fake_news_003_t00033,fake_news_003
fake_news_003_t00181,fake_news_003_t00150,fake_news_003
fake_news_003_t00126,fake_news_003_t00188,fake_news_003
fake_news_003_t00084,fake_news_003_t00140,fake_news_003
fake_news_003_t00032,fake_news_003_t00070,fake_news_003
fake_news_003_t00150,fake_news_003_t00027,fake_news_003
fake_news_003_t00161,fake_news_003_t00176,fake_news_003
fake_news_003_t00102,fake_news_003_t00095,fake_news_003
fake_news_003_t00066,fake_news_003_t00175,fake_news_003
